,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
3216,-119.65,36.33,52,1257,257.0,624,243,2.3523,59100,INLAND
2202,-119.86,36.82,12,1488,253.0,675,223,4.7622,89300,INLAND
3072,-119.23,35.78,8,1612,343.0,1230,330,2.1806,67200,INLAND
5878,-118.35,34.16,45,1390,281.0,538,270,4.2212,293800,<1H OCEAN
19452,-120.94,37.68,4,13315,2424.0,6420,2289,4.2471,162100,INLAND
3009,-118.99,35.24,40,282,59.0,213,71,2.35,91700,INLAND
19612,-121.11,37.47,12,2263,410.0,913,330,3.5795,145600,INLAND
6493,-118.02,34.08,28,2769,631.0,2452,581,2.6071,175900,INLAND
10072,-120.17,39.33,10,614,141.0,195,95,0.9283,116300,INLAND
5055,-118.35,34.02,34,3978,1073.0,2725,1035,1.7622,167900,<1H OCEAN
9472,-123.34,39.5,15,2342,535.0,1064,433,1.8967,96600,INLAND
19749,-122.24,40.18,39,2191,493.0,1307,499,1.6483,60800,INLAND
18159,-122.03,37.36,28,2490,345.0,948,361,6.4913,411900,<1H OCEAN
14778,-117.09,32.58,12,2565,567.0,1785,545,3.0273,135300,NEAR OCEAN
5859,-118.33,34.18,45,1552,315.0,785,316,3.7411,235500,<1H OCEAN
12578,-121.44,38.53,37,1951,432.0,1089,411,2.3272,80600,INLAND
17231,-119.7,34.43,35,1402,369.0,654,385,2.6205,318800,<1H OCEAN
13952,-117.15,34.22,10,1039,174.0,317,109,7.2371,171900,INLAND
8607,-118.37,33.87,18,2516,485.0,1128,433,5.0114,338600,<1H OCEAN
11667,-118.01,33.85,29,3061,612.0,2396,640,4.6326,195200,<1H OCEAN
1819,-122.32,37.94,47,1911,283.0,697,275,6.2712,267700,NEAR BAY
10086,-117.96,33.94,34,2228,399.0,1159,378,4.8906,228900,<1H OCEAN
6355,-117.96,34.14,33,1994,405.0,993,403,3.766,163900,INLAND
11995,-117.55,34.0,17,3583,700.0,1587,719,2.6979,75000,INLAND
480,-122.28,37.86,41,2214,550.0,1213,568,2.2845,153100,NEAR BAY
13446,-117.43,34.07,18,2453,537.0,1503,500,2.3768,95300,INLAND
15364,-117.21,33.34,10,5294,817.0,2312,810,5.4563,325700,<1H OCEAN
9532,-120.68,37.47,33,1028,226.0,658,197,2.3043,66300,INLAND
3325,-122.83,38.96,15,1318,296.0,567,276,1.8692,93800,INLAND
17164,-122.22,37.37,26,440,202.0,322,218,5.1831,350000,NEAR OCEAN
15608,-116.87,32.75,15,2053,321.0,993,309,5.5164,248900,<1H OCEAN
8793,-118.39,33.79,30,4402,563.0,1582,551,10.898,500001,NEAR OCEAN
14289,-117.13,32.74,46,3355,768.0,1457,708,2.6604,170100,NEAR OCEAN
16009,-122.45,37.74,38,5688,930.0,2263,908,6.203,346800,NEAR BAY
19068,-122.47,38.29,14,3732,846.0,1277,775,2.5658,208000,NEAR BAY
9358,-122.54,37.95,38,2310,400.0,971,386,5.697,435700,NEAR BAY
19361,-123.1,38.79,20,3109,712.0,1643,638,2.8344,164400,<1H OCEAN
14773,-117.07,32.56,9,3648,895.0,3293,840,3.0992,142600,NEAR OCEAN
5248,-118.43,34.08,46,778,90.0,238,93,15.0001,500001,<1H OCEAN
18522,-122.05,36.97,16,3363,611.0,1603,556,4.2542,294100,NEAR OCEAN
17037,-122.25,37.49,43,2607,477.0,1225,461,4.224,349600,NEAR OCEAN
5950,-117.87,34.14,30,2495,586.0,1139,559,2.9375,209200,INLAND
4505,-118.2,34.05,42,1703,586.0,2490,581,2.02,147200,<1H OCEAN
16210,-121.32,37.94,36,40,10.0,64,14,2.625,55000,INLAND
1940,-120.96,38.66,11,2339,436.0,1062,380,3.9036,180800,INLAND
17373,-120.43,34.96,24,2739,414.0,1171,413,4.8155,162900,<1H OCEAN
409,-122.28,37.9,52,2003,250.0,658,244,10.0825,397000,NEAR BAY
18625,-122.0,37.08,17,4154,739.0,2149,693,5.5919,373400,NEAR OCEAN
8688,-118.34,33.87,34,1069,217.0,601,212,4.6406,255900,<1H OCEAN
3899,-118.52,34.21,36,1328,287.0,823,273,4.5648,193700,<1H OCEAN
4178,-118.22,34.09,42,1706,488.0,1941,447,2.5213,149700,<1H OCEAN
4366,-118.27,34.1,51,3149,519.0,1082,510,6.4459,421600,<1H OCEAN
13395,-117.58,34.02,4,5998,1092.0,3182,1042,5.2692,174800,INLAND
4429,-118.22,34.08,31,394,117.0,573,131,1.8173,154200,<1H OCEAN
18584,-121.78,36.93,21,2794,662.0,2236,565,2.4053,178400,<1H OCEAN
15301,-117.36,33.18,39,1546,291.0,833,308,2.8893,185400,NEAR OCEAN
2927,-119.01,35.36,24,1941,484.0,1277,435,1.056,51600,INLAND
5966,-117.81,34.11,21,3481,808.0,1866,746,3.6201,150400,INLAND
7129,-118.1,34.02,33,1143,172.0,508,174,4.9107,279900,<1H OCEAN
15162,-117.03,32.96,16,3424,698.0,1940,645,4.121,182100,<1H OCEAN
2520,-122.23,39.75,16,2026,396.0,1031,382,1.9375,73100,INLAND
18627,-121.96,37.1,20,922,155.0,361,135,6.3617,331500,<1H OCEAN
10005,-121.06,39.04,15,1999,287.0,585,246,5.5161,361900,INLAND
6826,-118.1,34.09,46,2822,525.0,1434,520,3.8906,238300,<1H OCEAN
8354,-118.32,33.95,44,2131,360.0,1040,330,5.0912,169800,<1H OCEAN
17149,-122.21,37.44,35,1140,193.0,486,199,4.6908,500001,NEAR OCEAN
4439,-118.19,34.1,39,2054,423.0,1205,403,4.239,213000,<1H OCEAN
19740,-122.38,40.09,16,2077,388.0,1155,389,3.1361,84800,INLAND
15281,-117.3,33.06,31,2128,520.0,1049,485,4.027,290000,NEAR OCEAN
653,-122.13,37.71,44,1421,298.0,609,270,3.5781,180000,NEAR BAY
5077,-118.29,33.98,44,2261,555.0,1348,455,1.9125,97200,<1H OCEAN
1159,-121.53,39.52,30,1030,161.0,448,159,2.4821,73800,INLAND
17428,-120.47,34.65,16,2549,428.0,1486,432,4.2875,150700,NEAR OCEAN
4986,-118.3,34.0,52,1718,354.0,1026,312,2.0,128000,<1H OCEAN
8103,-118.22,33.8,33,1984,477.0,1764,440,3.875,165100,NEAR OCEAN
5139,-118.27,33.97,39,2569,688.0,2601,630,2.0754,101400,<1H OCEAN
4608,-118.34,34.06,52,1311,310.0,707,290,3.4812,432800,<1H OCEAN
20299,-119.21,34.18,13,6103,1319.0,2986,1212,3.9718,215200,NEAR OCEAN
11045,-117.83,33.81,24,3550,895.0,2828,834,2.8403,225600,<1H OCEAN
20414,-118.85,34.18,11,5873,1455.0,3089,1365,3.5504,173800,<1H OCEAN
19976,-118.37,36.19,10,443,111.0,48,21,3.125,71300,INLAND
17813,-121.85,37.39,15,8748,1547.0,4784,1524,5.8322,276600,<1H OCEAN
8715,-118.37,33.85,25,5622,998.0,2537,1009,5.785,395300,<1H OCEAN
2940,-118.96,35.37,32,1025,259.0,874,236,1.9612,53400,INLAND
16608,-120.64,35.65,9,3466,673.0,2356,619,2.9926,158200,<1H OCEAN
3718,-118.41,34.19,42,779,145.0,450,148,3.9792,193800,<1H OCEAN
9360,-122.53,37.95,22,7446,1979.0,2980,1888,3.5838,271300,NEAR BAY
13497,-117.33,34.15,28,1473,333.0,1196,312,1.6993,67800,INLAND
12218,-117.23,33.57,6,13724,2269.0,5860,1986,3.9617,183000,<1H OCEAN
9616,-120.44,37.28,12,2855,598.0,1658,586,2.3929,81100,INLAND
12149,-117.2,33.7,23,6323,1196.0,1984,1124,2.3276,92400,<1H OCEAN
12896,-121.34,38.64,12,2772,578.0,1335,565,3.8068,161000,INLAND
13581,-117.28,34.12,36,2991,822.0,2378,751,1.3571,70600,INLAND
19824,-119.48,36.5,32,3451,625.0,1968,574,2.9554,110300,INLAND
18617,-122.04,37.04,17,4977,994.0,1987,947,3.8854,312300,NEAR OCEAN
5340,-118.45,34.03,39,1657,402.0,931,363,3.7813,336300,<1H OCEAN
12036,-117.47,33.92,18,3869,773.0,2500,726,3.6583,126100,INLAND
1551,-121.94,37.75,16,5121,735.0,2464,761,6.6204,296100,<1H OCEAN
13852,-117.28,34.51,10,4676,884.0,2845,812,3.0181,100400,INLAND
16621,-120.95,35.44,30,6346,1410.0,1769,887,2.6864,283600,NEAR OCEAN
6341,-117.9,33.97,23,7353,1255.0,4014,1124,5.4155,213200,<1H OCEAN
1045,-120.77,38.38,15,4221,816.0,1737,743,2.3125,128600,INLAND
15091,-116.93,32.8,19,1867,538.0,1219,468,2.0685,130000,<1H OCEAN
8163,-118.13,33.81,34,1903,343.0,928,349,5.395,241900,<1H OCEAN
11915,-117.4,33.95,46,2189,423.0,866,389,3.1384,111500,INLAND
1397,-122.07,37.96,34,1692,290.0,836,289,5.0172,197100,NEAR BAY
9456,-123.71,39.88,42,1518,383.0,656,303,1.4952,69800,NEAR OCEAN
19333,-122.72,38.58,4,7042,1100.0,2936,1043,5.0555,240800,<1H OCEAN
10625,-117.77,33.72,9,2153,316.0,954,324,7.8139,304700,<1H OCEAN
6172,-117.93,34.07,34,1409,305.0,819,273,3.3977,188800,<1H OCEAN
8854,-118.41,34.07,52,1202,142.0,408,138,15.0001,500001,<1H OCEAN
9247,-120.07,36.97,28,1563,403.0,1564,408,1.5662,48000,INLAND
20001,-119.27,36.05,29,1016,174.0,481,140,2.2917,112500,INLAND
9650,-120.82,37.05,15,1385,288.0,775,255,1.933,140600,INLAND
12569,-121.43,38.54,42,3321,688.0,1346,658,2.4618,101300,INLAND
17391,-120.44,34.96,30,1685,315.0,1290,368,3.4722,112500,<1H OCEAN
20119,-120.35,37.95,13,2104,407.0,960,401,2.4,177000,INLAND
7452,-118.17,33.95,23,1991,584.0,1380,535,1.9107,181900,<1H OCEAN
1168,-121.57,39.5,31,2023,469.0,1073,436,1.5714,56100,INLAND
10278,-117.82,33.88,18,1982,300.0,1027,324,7.0526,327500,<1H OCEAN
17838,-121.9,37.44,4,1646,408.0,853,410,5.0821,265500,<1H OCEAN
12638,-121.45,38.54,38,1865,384.0,1052,354,1.7891,60500,INLAND
2240,-119.81,36.83,19,6789,1200.0,2325,1109,4.049,126000,INLAND
8790,-118.36,33.8,34,2629,369.0,966,375,10.1241,500001,NEAR OCEAN
10483,-117.68,33.59,8,2327,263.0,899,236,14.9009,500001,<1H OCEAN
7886,-118.04,33.88,17,4807,838.0,3059,853,5.7619,297300,<1H OCEAN
5437,-118.43,34.01,41,1527,279.0,746,285,6.4232,446600,<1H OCEAN
19227,-122.71,38.5,15,5645,830.0,2324,769,6.6104,330900,<1H OCEAN
9866,-121.83,36.6,30,2748,502.0,1491,535,4.3472,185000,<1H OCEAN
16636,-120.82,35.31,16,3924,699.0,1325,638,2.5172,293900,NEAR OCEAN
9224,-120.06,36.95,24,646,134.0,454,149,2.125,61900,INLAND
684,-122.14,37.68,31,3184,716.0,1561,628,2.7955,183100,NEAR BAY
12378,-116.46,33.78,25,1137,414.0,604,240,1.3801,55000,INLAND
16487,-121.09,38.19,23,762,140.0,358,141,2.4545,105000,INLAND
13062,-121.32,38.57,15,3369,499.0,1733,470,5.31,127500,INLAND
19488,-120.99,37.66,30,1718,395.0,914,400,1.933,107000,INLAND
207,-122.22,37.79,37,2343,574.0,1608,523,2.1494,132500,NEAR BAY
16145,-122.47,37.78,52,2169,522.0,1220,505,3.1989,446900,NEAR BAY
10737,-117.91,33.61,40,2790,531.0,952,424,4.8,500001,<1H OCEAN
20617,-121.53,39.06,20,561,109.0,308,114,3.3021,70800,INLAND
14685,-117.04,32.83,8,2205,348.0,777,341,6.0266,177400,<1H OCEAN
6729,-118.13,34.11,52,2568,345.0,1102,345,9.1373,500001,<1H OCEAN
1678,-122.32,38.06,4,7999,1611.0,3596,1396,5.0969,174200,NEAR BAY
1010,-121.73,37.68,17,20354,3493.0,8768,3293,5.4496,238900,INLAND
2843,-118.98,35.4,36,1864,331.0,1052,325,3.4205,76600,INLAND
17641,-121.9,37.25,28,2714,502.0,1389,490,5.7385,240400,<1H OCEAN
12979,-121.3,38.69,13,2135,429.0,779,432,3.6995,134900,INLAND
2712,-115.64,32.75,19,377,69.0,198,55,1.625,112500,INLAND
10967,-117.89,33.76,34,1050,210.0,723,201,4.8,192700,<1H OCEAN
8429,-118.36,33.92,46,1231,231.0,793,256,4.1023,226800,<1H OCEAN
14743,-117.06,32.58,11,2879,679.0,2098,673,3.5125,142400,NEAR OCEAN
2753,-115.49,32.67,25,2322,573.0,2185,602,1.375,70100,INLAND
13560,-117.31,34.09,34,1336,345.0,1009,311,1.608,73700,INLAND
10039,-121.03,39.21,28,2843,535.0,1310,525,3.2337,123100,INLAND
14181,-117.05,32.72,35,1777,369.0,1158,353,3.4107,117000,NEAR OCEAN
10105,-117.95,33.92,18,2825,660.0,1590,643,3.6106,153600,<1H OCEAN
3003,-119.01,35.31,19,7092,1517.0,4101,1436,2.1006,74800,INLAND
20189,-119.17,34.27,18,8010,1539.0,3982,1483,4.0905,236500,NEAR OCEAN
6687,-118.07,34.14,42,3200,685.0,1668,628,3.375,260400,INLAND
18885,-122.23,38.1,46,4143,895.0,2240,847,2.4201,92800,NEAR BAY
6343,-117.75,34.06,52,62,9.0,44,16,0.4999,112500,INLAND
7646,-118.27,33.81,42,865,208.0,811,218,3.8621,165300,<1H OCEAN
16316,-121.32,38.0,21,1795,482.0,1114,472,2.0091,101500,INLAND
20041,-118.99,36.06,19,2153,458.0,1317,386,1.7564,42600,INLAND
18706,-122.37,40.54,28,2213,390.0,1096,378,3.6923,86900,INLAND
20068,-120.39,37.98,52,1056,274.0,584,255,2.1513,86700,INLAND
4243,-118.33,34.11,48,1601,464.0,784,461,3.0642,342900,<1H OCEAN
7794,-118.08,33.89,37,1152,259.0,981,225,3.2857,153600,<1H OCEAN
15379,-117.25,33.36,6,3725,960.0,2833,915,2.3214,247000,<1H OCEAN
19890,-119.15,36.29,18,1435,,657,254,2.4281,72500,INLAND
13366,-117.63,33.94,36,447,95.0,2886,85,4.2578,183300,INLAND
3912,-118.55,34.19,18,5862,,3161,1280,3.1106,170600,<1H OCEAN
10883,-117.89,33.71,16,1591,225.0,926,239,6.2452,266300,<1H OCEAN
10569,-117.69,33.66,5,4246,689.0,1933,722,6.9501,225700,<1H OCEAN
8551,-118.35,33.88,25,1459,362.0,1150,354,3.35,237500,<1H OCEAN
6683,-118.09,34.16,45,2199,358.0,942,353,5.0393,321100,INLAND
9997,-121.05,39.11,7,2767,423.0,1143,382,3.6333,170200,INLAND
4169,-118.21,34.1,40,1684,316.0,795,330,5.2723,218300,<1H OCEAN
20020,-119.04,36.07,17,2623,659.0,1912,618,1.5893,52000,INLAND
13537,-117.3,34.15,33,1607,282.0,608,260,4.3438,115000,INLAND
6347,-117.75,34.06,44,477,135.0,502,117,2.0156,112500,INLAND
12455,-114.61,33.62,16,1187,261.0,1115,242,2.1759,61500,INLAND
13380,-117.61,34.13,21,8416,1386.0,4308,1341,4.4611,164600,INLAND
6894,-118.11,34.05,23,3436,565.0,1729,529,5.9941,266700,<1H OCEAN
3158,-118.95,35.26,24,1341,214.0,667,184,4.0,94500,INLAND
8454,-118.35,33.9,25,3309,902.0,2299,837,3.0417,237000,<1H OCEAN
3324,-122.89,38.93,20,1214,247.0,504,223,2.7188,105700,<1H OCEAN
9849,-121.89,36.6,40,626,164.0,337,150,2.7917,225000,<1H OCEAN
3398,-118.31,34.26,34,1797,363.0,948,363,4.1339,187300,<1H OCEAN
18061,-122.01,37.25,31,1574,193.0,551,191,10.2311,500001,<1H OCEAN
5392,-118.37,34.04,43,888,170.0,514,161,3.1827,202800,<1H OCEAN
14010,-117.19,32.76,52,1294,175.0,434,180,5.7914,500001,NEAR OCEAN
2130,-119.71,36.8,17,2056,366.0,1259,367,3.9338,84700,INLAND
13985,-117.28,34.68,28,1932,421.0,1156,404,1.8958,55600,INLAND
16631,-120.84,35.32,15,2419,538.0,1279,522,3.4762,189600,NEAR OCEAN
7145,-118.13,34.02,43,396,91.0,261,73,2.9044,172900,<1H OCEAN
12209,-117.02,33.6,7,1972,352.0,964,317,3.244,337200,INLAND
14957,-116.97,32.76,33,3071,466.0,1348,513,6.1768,228900,<1H OCEAN
10707,-117.71,33.61,26,3046,726.0,888,663,2.6848,74100,<1H OCEAN
1121,-121.58,39.79,19,2636,523.0,1184,465,2.7863,108600,INLAND
5787,-118.24,34.15,19,4852,1465.0,3171,1332,2.5924,192900,<1H OCEAN
19190,-122.68,38.44,29,2796,588.0,1346,562,2.9107,169700,<1H OCEAN
8033,-118.14,33.84,43,2107,439.0,876,429,3.2024,339400,<1H OCEAN
6083,-117.88,34.1,32,3357,621.0,1696,604,4.2685,216600,<1H OCEAN
10450,-117.67,33.44,25,2994,519.0,903,410,6.6852,500001,<1H OCEAN
17436,-120.47,34.64,16,1912,406.0,1009,417,3.4063,138000,NEAR OCEAN
17088,-122.22,37.47,23,7740,1943.0,4124,1743,3.3268,322800,NEAR OCEAN
491,-122.25,37.86,52,1709,318.0,719,295,5.0463,456300,NEAR BAY
6888,-118.11,34.06,30,1547,436.0,1700,410,2.5488,187500,<1H OCEAN
2530,-122.2,39.52,39,2551,482.0,1181,437,2.0625,63400,INLAND
2470,-119.9,36.58,20,1935,363.0,1319,359,2.4814,74600,INLAND
5617,-118.26,33.79,42,1162,264.0,1044,241,3.5488,205600,<1H OCEAN
17182,-122.51,37.53,17,1574,262.0,672,241,7.2929,355800,NEAR OCEAN
8438,-118.37,33.93,46,442,88.0,255,94,4.4474,246900,<1H OCEAN
4990,-118.31,33.99,48,2235,433.0,1363,433,1.6559,101400,<1H OCEAN
10831,-117.94,33.65,15,2016,443.0,1015,419,5.2732,209700,<1H OCEAN
5475,-118.46,34.0,44,941,230.0,493,206,3.6458,325800,<1H OCEAN
1765,-122.33,37.95,46,1543,339.0,777,322,4.0927,142600,NEAR BAY
13334,-117.67,34.05,6,2833,628.0,1717,589,3.2062,167500,INLAND
7048,-118.05,33.94,34,495,120.0,527,130,1.9453,149000,<1H OCEAN
7510,-118.27,33.89,32,1969,397.0,1349,370,4.4659,138100,<1H OCEAN
12204,-117.16,33.57,2,20391,3245.0,7132,2716,3.9443,187300,<1H OCEAN
8913,-118.46,34.03,27,1965,631.0,1042,596,2.75,327300,<1H OCEAN
15769,-122.44,37.77,52,5604,1268.0,2023,1196,4.4085,400000,NEAR BAY
851,-122.03,37.6,24,2077,383.0,1488,389,4.5721,214700,NEAR BAY
9037,-117.96,34.71,32,3511,646.0,1733,510,3.46,123900,INLAND
6058,-117.83,34.01,16,9446,1650.0,4911,1534,5.0111,212900,<1H OCEAN
3975,-118.62,34.2,29,2421,402.0,1120,388,5.0309,244800,<1H OCEAN
12797,-121.45,38.62,37,1534,315.0,1147,322,2.5643,59800,INLAND
16758,-122.48,37.71,39,3615,632.0,1571,615,5.1149,314200,NEAR OCEAN
9508,-123.22,39.15,45,1348,265.0,639,270,3.3667,115200,<1H OCEAN
18293,-122.11,37.39,36,1660,261.0,655,249,6.3967,500001,NEAR BAY
10542,-117.71,33.47,17,2681,454.0,830,410,5.5507,345700,<1H OCEAN
7893,-118.07,33.87,18,3405,556.0,1945,509,5.7652,299100,<1H OCEAN
771,-122.11,37.66,29,2544,643.0,2332,603,3.2091,150000,NEAR BAY
6286,-117.93,34.04,30,1336,239.0,905,253,4.8854,178100,<1H OCEAN
18198,-122.03,37.39,34,2600,650.0,1994,650,4.0223,250200,<1H OCEAN
8530,-118.35,33.9,31,1547,,956,287,3.4698,225000,<1H OCEAN
14284,-117.13,32.72,9,2436,720.0,1780,653,1.8299,137500,NEAR OCEAN
9733,-121.66,36.82,17,3921,654.0,1895,641,5.0092,238700,<1H OCEAN
6863,-118.13,34.05,35,3229,616.0,1879,595,3.9531,268400,<1H OCEAN
4596,-118.28,34.05,41,1788,774.0,2931,702,1.4413,158900,<1H OCEAN
6785,-118.17,34.1,25,4444,647.0,1922,652,8.058,477300,<1H OCEAN
16230,-121.33,37.97,36,1953,492.0,999,371,2.0043,90800,INLAND
14389,-117.23,32.74,16,1953,404.0,798,385,4.8167,169800,NEAR OCEAN
13061,-121.29,38.6,29,1276,225.0,600,223,4.0938,109100,INLAND
6260,-117.95,34.04,36,1044,200.0,982,205,4.7679,153900,<1H OCEAN
9872,-121.83,36.61,26,3723,789.0,2563,747,3.4531,133100,<1H OCEAN
20201,-119.21,34.26,26,2406,411.0,1313,391,4.9079,234100,NEAR OCEAN
8489,-118.29,33.91,28,1501,446.0,1028,418,2.3043,177500,<1H OCEAN
20476,-118.74,34.26,27,3467,545.0,1798,493,4.8717,204100,<1H OCEAN
7419,-118.2,33.96,44,2144,477.0,1760,452,2.3221,161600,<1H OCEAN
10821,-117.93,33.65,29,1253,375.0,1198,362,3.5179,225000,<1H OCEAN
2590,-124.09,40.88,31,1982,495.0,1052,467,1.5326,74100,NEAR OCEAN
12677,-121.39,38.56,19,8507,1470.0,3517,1453,4.3644,137400,INLAND
13507,-117.33,34.13,30,2335,363.0,1214,311,2.2449,93200,INLAND
20503,-118.75,34.33,27,534,85.0,243,77,8.2787,330000,<1H OCEAN
7681,-118.1,33.93,36,1124,217.0,707,234,4.375,174500,<1H OCEAN
3519,-118.49,34.25,33,2088,383.0,960,362,4.3333,232900,<1H OCEAN
13198,-117.69,34.06,29,873,226.0,649,198,2.7986,114400,INLAND
14755,-117.06,32.57,18,1384,311.0,1429,287,1.3362,95000,NEAR OCEAN
3470,-118.46,34.29,24,3668,890.0,3151,810,3.0526,183300,<1H OCEAN
20543,-121.74,38.55,33,6861,1820.0,3717,1767,1.7311,182600,INLAND
12223,-116.89,33.73,15,2094,316.0,937,277,5.3623,201300,INLAND
17655,-121.89,37.25,26,1741,323.0,1007,339,4.7069,234800,<1H OCEAN
638,-122.15,37.72,31,1616,372.0,739,379,2.9097,210900,NEAR BAY
20230,-119.29,34.26,32,3295,764.0,1344,600,3.6007,395500,NEAR OCEAN
7568,-118.19,33.89,38,4018,986.0,3702,927,2.9293,113600,<1H OCEAN
13289,-117.66,34.06,24,4043,952.0,2174,859,2.2244,114900,INLAND
11616,-118.06,33.8,20,1379,333.0,937,304,3.6217,195300,<1H OCEAN
6916,-118.0,33.95,35,1431,210.0,505,213,6.8109,401000,<1H OCEAN
11179,-117.95,33.84,18,3418,815.0,1961,773,3.65,171400,<1H OCEAN
10238,-117.88,33.9,21,3180,434.0,1413,391,6.5945,277300,<1H OCEAN
6758,-118.12,34.11,48,2124,319.0,785,319,5.2131,359600,<1H OCEAN
19461,-120.99,37.69,25,2773,384.0,1060,381,6.4788,199400,INLAND
8444,-118.37,33.91,41,1869,427.0,1334,435,3.9355,227800,<1H OCEAN
9763,-121.74,36.47,28,1973,343.0,970,349,4.25,279100,<1H OCEAN
17073,-122.19,37.48,35,7067,1646.0,5380,1597,4.1776,265300,NEAR BAY
15047,-116.95,32.78,20,3425,448.0,1489,443,6.2552,296400,<1H OCEAN
10998,-117.8,33.76,27,2655,345.0,1017,335,6.9014,366800,<1H OCEAN
2727,-115.54,32.79,23,1712,403.0,1370,377,1.275,60400,INLAND
3767,-118.43,34.17,35,2922,507.0,1130,485,5.451,341800,<1H OCEAN
16721,-120.69,35.49,16,2666,450.0,1203,429,4.1375,222400,<1H OCEAN
8340,-118.32,33.94,37,2740,504.0,1468,479,4.5368,168800,<1H OCEAN
16413,-121.18,37.96,35,411,74.0,193,59,2.5625,146900,INLAND
16214,-121.33,37.96,42,1619,340.0,906,339,2.5488,80300,INLAND
9236,-119.95,36.96,18,1996,379.0,1327,356,2.6087,96000,INLAND
8931,-118.47,34.0,42,1271,301.0,574,312,3.1304,340500,<1H OCEAN
2591,-124.09,40.88,26,2683,555.0,1353,526,2.4321,82100,NEAR OCEAN
12199,-117.19,33.64,12,1481,265.0,757,243,3.235,210700,<1H OCEAN
3359,-120.64,40.41,50,1741,424.0,987,383,1.5066,59300,INLAND
17261,-119.72,34.42,52,1759,387.0,980,402,4.0125,261000,NEAR OCEAN
2751,-115.49,32.69,17,1960,389.0,1691,356,1.899,64000,INLAND
6755,-118.1,34.11,49,3367,523.0,1317,495,6.706,351400,<1H OCEAN
19302,-122.82,38.39,32,1437,257.0,752,245,4.7422,240900,<1H OCEAN
4105,-118.34,34.12,41,3257,679.0,1237,638,4.2415,409600,<1H OCEAN
4977,-118.29,34.0,44,1753,387.0,1165,380,2.1354,105800,<1H OCEAN
12824,-121.44,38.73,25,1287,224.0,727,236,4.7396,135500,INLAND
14560,-117.22,32.83,31,3958,727.0,1924,728,5.4605,190200,NEAR OCEAN
19106,-122.63,38.26,7,7808,1390.0,3551,1392,4.6069,202300,<1H OCEAN
6604,-118.17,34.18,38,1280,231.0,828,237,4.375,166700,<1H OCEAN
2549,-124.17,40.79,43,2285,479.0,1169,482,1.9688,70500,NEAR OCEAN
4081,-118.37,34.15,29,2630,617.0,1071,573,3.3669,376100,<1H OCEAN
3011,-118.93,34.82,24,806,168.0,323,136,3.5,113900,INLAND
17094,-122.24,37.47,35,2283,491.0,1148,436,4.5556,318600,NEAR OCEAN
15,-122.26,37.85,50,1120,283.0,697,264,2.125,140000,NEAR BAY
6961,-118.04,33.99,36,3531,754.0,1613,697,3.2359,198600,<1H OCEAN
10146,-117.92,33.92,19,2181,400.0,1272,337,5.1952,302100,<1H OCEAN
12320,-116.51,33.89,21,1284,306.0,537,233,1.95,61000,INLAND
11143,-117.94,33.84,25,4016,831.0,2166,774,3.1884,135400,<1H OCEAN
18955,-122.07,38.24,15,7937,1635.0,4390,1567,3.5464,129800,INLAND
5193,-118.25,33.93,42,657,147.0,526,132,2.5,110200,<1H OCEAN
20397,-118.86,34.22,26,1932,280.0,886,289,5.0855,232200,<1H OCEAN
12825,-121.47,38.72,26,1708,299.0,911,290,4.0227,99800,INLAND
